year,crop,region,sort,area,production,kg/10a,areaLQ,productionLQ
1999,마늘,봉평면,조미채류,0.5,3.5,700,0.284369743,0.242267708
1999,마늘,용평면,조미채류,0.5,3.5,700,0.466023871,0.430304633
1999,마늘,진부면,조미채류,0,0,700,0,0
1999,마늘,평창읍,조미채류,9.9,69.3,700,3.589053773,11.38704194
1999,메밀,대관령면,잡곡,0,0,0,0,0
1999,메밀,대화면,잡곡,0,0,0,0,0
1999,메밀,미탄면,잡곡,4,3,75,2.426154275,2.398517251
1999,메밀,방림면,잡곡,0,0,0,0,0
1999,메밀,봉평면,잡곡,11,10,91,3.498801064,3.325674898
1999,메밀,용평면,잡곡,5,3,60,2.60628165,1.772072716
1999,메밀,진부면,잡곡,0,0,0,0,0
1999,메밀,평창읍,잡곡,7,6,86,1.419240493,4.736758495
1999,무,대관령면,근채류,105,2784,2651,0.97475863,0.706578258
1999,무,대화면,근채류,109.5,3568,3258,1.05254679,1.167482645
1999,무,미탄면,근채류,38.6,1107,2868,0.874079779,0.946902837
1999,무,방림면,근채류,204.2,5242,2567,2.93273429,2.42148238
1999,무,봉평면,근채류,80.9,2484,3070,0.960683724,0.88382766
1999,무,용평면,근채류,46.8,1316,2812,0.91075705,0.831672572
1999,무,진부면,근채류,93.9,2697,2891,0.722574071,0.579244534
1999,무,평창읍,근채류,44.3,1365,3081,0.335325844,1.15291914
1999,배,대관령면,과실류,0,0,0,0,0
1999,배,대화면,과실류,0,0,0,0,0
1999,배,미탄면,과실류,2,36,0,10.91769424,12.92262356
1999,배,방림면,과실류,0,0,0,0,0
1999,배,봉평면,과실류,0,0,0,0,0
1999,배,용평면,과실류,0,0,0,0,0
1999,배,진부면,과실류,0,0,0,0,0
1999,배,평창읍,과실류,1,13,0,1.824737777,4.607867107
1999,배추,대관령면,엽채류,380,15250,4013,1.048853445,0.763528855
1999,배추,대화면,엽채류,453,20280,4477,1.294639688,1.309055652
1999,배추,미탄면,엽채류,240,11296,4707,1.615840291,1.906106018
1999,배추,방림면,엽채류,431.5,18051,4183,1.842558147,1.644940277
1999,배추,봉평면,엽채류,271.5,11077,4080,0.958572947,0.777504167
1999,배추,용평면,엽채류,215.2,8526,3962,1.245152023,1.062934222
1999,배추,진부면,엽채류,326,12765,3916,0.745860836,0.540836992
1999,배추,평창읍,엽채류,115.2,6992,6069,0.2592622,1.165016803
1999,복숭아,대관령면,과실류,0,0,0,,
1999,복숭아,대화면,과실류,0,0,0,,
1999,복숭아,미탄면,과실류,0,0,0,,
1999,복숭아,방림면,과실류,0,0,0,,
1999,복숭아,봉평면,과실류,0,0,0,,
1999,복숭아,용평면,과실류,0,0,0,,
1999,복숭아,진부면,과실류,0,0,0,,
1999,복숭아,평창읍,과실류,0,0,0,,
1999,사과,대관령면,과실류,0,0,0,0,0
1999,사과,대화면,과실류,0,0,0,0,0
1999,사과,미탄면,과실류,0,0,0,0,0
1999,사과,방림면,과실류,0,0,0,0,0
1999,사과,봉평면,과실류,0,0,0,0,0
1999,사과,용평면,과실류,0,0,0,0,0
1999,사과,진부면,과실류,0,0,0,0,0
1999,사과,평창읍,과실류,1.5,27.4,1827,5.474213331,17.36811448
1999,상추,대관령면,엽채류,84,2320,2762,5.980449129,4.751886683
1999,상추,대화면,엽채류,0,0,0,0,0
1999,상추,미탄면,엽채류,0.1,3,3000,0.017366428,0.020709333
1999,상추,방림면,엽채류,8.8,194,2205,0.969273582,0.723224414
1999,상추,봉평면,엽채류,0.1,2,2000,0.009107069,0.005742924
1999,상추,용평면,엽채류,1,20,2000,0.149246245,0.102003139
1999,상추,진부면,엽채류,0,0,0,0,0
1999,상추,평창읍,엽채류,0.3,9,3000,0.017415313,0.061347343
1999,생강,대관령면,조미채류,0,0,0,,
1999,생강,대화면,조미채류,0,0,0,,
1999,생강,미탄면,조미채류,0,0,0,,
1999,생강,방림면,조미채류,0,0,0,,
1999,생강,봉평면,조미채류,0,0,0,,
1999,생강,용평면,조미채류,0,0,0,,
1999,생강,진부면,조미채류,0,0,0,,
1999,생강,평창읍,조미채류,0,0,0,,
1999,수박,대관령면,과채류,0,0,0,0,0
1999,수박,대화면,과채류,0,0,0,0,0
1999,수박,미탄면,과채류,0.1,2,2000,0.172384646,0.123867088
1999,수박,방림면,과채류,0.1,3,3000,0.109333133,0.100339905
1999,수박,봉평면,과채류,0,0,0,0,0
1999,수박,용평면,과채류,0,0,0,0,0
1999,수박,진부면,과채류,0,0,0,0,0
1999,수박,평창읍,과채류,9.3,279,3000,5.358966734,17.06233782
1999,수수,대관령면,잡곡,0,0,100,0,0
1999,수수,대화면,잡곡,5,5,100,1.448253117,1.462696531
1999,수수,미탄면,잡곡,4,4,100,2.729423559,3.058978523
1999,수수,방림면,잡곡,2,2,100,0.865553966,0.825986467
1999,수수,봉평면,잡곡,3,3,100,1.073495781,0.954324101
1999,수수,용평면,잡곡,1,1,100,0.586413371,0.565008692
1999,수수,진부면,잡곡,3,3,100,0.695641065,0.576050943
1999,수수,평창읍,잡곡,6,5,83,1.368553333,3.775677061
1999,시금치,대관령면,엽채류,0,0,0,0,0
1999,시금치,대화면,엽채류,0,0,0,0,0
1999,시금치,미탄면,엽채류,0,0,0,0,0
1999,시금치,방림면,엽채류,0,0,0,0,0
1999,시금치,봉평면,엽채류,1.7,46,2706,8.587966249,7.316484776
1999,시금치,용평면,엽채류,0,0,0,0,0
1999,시금치,진부면,엽채류,0,0,0,0,0
1999,시금치,평창읍,엽채류,0,0,0,0,0
1999,양배추,대관령면,엽채류,77,3311,4300,1.012059495,0.79740285
1999,양배추,대화면,엽채류,174,6564,3600,2.368012928,2.038082332
1999,양배추,미탄면,엽채류,23,860,3739,0.737393209,0.69804563
1999,양배추,방림면,엽채류,42.5,1635,3759,0.864198361,0.71668715
1999,양배추,봉평면,엽채류,94,5186,5499,1.580400993,1.750959393
1999,양배추,용평면,엽채류,69,2918,4229,1.901136536,1.749884327
1999,양배추,진부면,엽채류,20.5,770,3756,0.223345996,0.156927584
1999,양배추,평창읍,엽채류,10.8,426,3944,0.11574296,0.341431323
1999,양파,대관령면,조미채류,59.9,3055,5100,1.58515802,1.38628692
1999,양파,대화면,조미채류,8.8,370,0,0.24112815,0.216460264
1999,양파,미탄면,조미채류,0,0,0,0,0
1999,양파,방림면,조미채류,18.2,728,4000,0.745120166,0.601265864
1999,양파,봉평면,조미채류,33,1353,4100,1.117078779,0.860725494
1999,양파,용평면,조미채류,10.4,447,4298,0.57693645,0.505073851
1999,양파,진부면,조미채류,123.4,5548,4496,2.706885531,2.130435168
1999,양파,평창읍,조미채류,0,0,0,0,0
1999,오이,대관령면,과채류,0.2,7,0,0.231509176,0.199629383
1999,오이,대화면,과채류,3.3,99,3000,3.955229203,3.639956285
1999,오이,미탄면,과채류,0,0,0,0,0
1999,오이,방림면,과채류,0.1,3,3000,0.179080131,0.15571876
1999,오이,봉평면,과채류,0,0,0,0,0
1999,오이,용평면,과채류,0,0,0,0,0
1999,오이,진부면,과채류,1.1,36,3273,1.055455409,0.868798144
1999,오이,평창읍,과채류,1.1,38,0,1.038212873,3.606493717
1999,옥수수,대관령면,잡곡,5,28,560,0.021286513,0.025569328
1999,옥수수,대화면,잡곡,132,744,564,0.581872654,0.875928715
1999,옥수수,미탄면,잡곡,123,775,630,1.277307918,2.385227129
1999,옥수수,방림면,잡곡,59,366,620,0.388593664,0.608324941
1999,옥수수,봉평면,잡곡,135,621,460,0.735177834,0.795019606
1999,옥수수,용평면,잡곡,37,244,659,0.330206134,0.554825683
1999,옥수수,진부면,잡곡,136,766,563,0.47993499,0.591943163
1999,옥수수,평창읍,잡곡,950,2171,229,3.297718874,6.597756175
1999,자두,대관령면,과실류,0,0,0,,
1999,자두,대화면,과실류,0,0,0,,
1999,자두,미탄면,과실류,0,0,0,,
1999,자두,방림면,과실류,0,0,0,,
1999,자두,봉평면,과실류,0,0,0,,
1999,자두,용평면,과실류,0,0,0,,
1999,자두,진부면,과실류,0,0,0,,
1999,자두,평창읍,과실류,0,0,0,,
1999,조,대관령면,잡곡,0,0,0,0,0
1999,조,대화면,잡곡,2,2,100,2.317204987,2.242801347
1999,조,미탄면,잡곡,1,1,100,2.729423559,2.931521084
1999,조,방림면,잡곡,0,0,0,0,0
1999,조,봉평면,잡곡,1,1,100,1.431327708,1.219414129
1999,조,용평면,잡곡,0,0,0,0,0
1999,조,진부면,잡곡,0,0,0,0,0
1999,조,평창읍,잡곡,2,2,100,1.824737777,5.789371494
1999,콩,대관령면,두류,0,0,0,0,0
1999,콩,대화면,두류,67,96,143,1.446454045,1.380185444
1999,콩,미탄면,두류,62,91,147,3.153247093,3.420107932
1999,콩,방림면,두류,15,22,147,0.483850043,0.446526872
1999,콩,봉평면,두류,27,40,148,0.720108971,0.625340579
1999,콩,용평면,두류,26,41,158,1.136403552,1.138468369
1999,콩,진부면,두류,10,15,150,0.172830078,0.14155098
1999,콩,평창읍,두류,115,163,142,1.95507619,6.049150984
1999,토마토,대관령면,과채류,0.3,13,4333,0.649719301,0.109782317
1999,토마토,대화면,과채류,0,0,0,0,0
1999,토마토,미탄면,과채류,0,0,0,0,0
1999,토마토,방림면,과채류,0.5,23,4600,1.675265741,0.353516862
1999,토마토,봉평면,과채류,0,0,0,0,0
1999,토마토,용평면,과채류,2,573,2865,9.079948974,12.0489475
1999,토마토,진부면,과채류,0.3,9,3000,0.538560824,0.064316367
1999,토마토,평창읍,과채류,0,0,0,0,0
1999,파,대관령면,조미채류,0,0,0,,
1999,파,대화면,조미채류,0,0,0,,
1999,파,미탄면,조미채류,0,0,0,,
1999,파,방림면,조미채류,0,0,0,,
1999,파,봉평면,조미채류,0,0,0,,
1999,파,용평면,조미채류,0,0,0,,
1999,파,진부면,조미채류,0,0,0,,
1999,파,평창읍,조미채류,0,0,0,,
1999,팥,대관령면,두류,0,0,0,0,0
1999,팥,대화면,두류,56,69,123,2.1507759,2.169438686
1999,팥,미탄면,두류,10,12,120,0.90478129,0.986306159
1999,팥,방림면,두류,57,65,114,3.27093322,2.885163009
1999,팥,봉평면,두류,29,34,117,1.375972493,1.162432161
1999,팥,용평면,두류,10,12,120,0.777564691,0.728702799
1999,팥,진부면,두류,7,8,114,0.215225965,0.165098713
1999,팥,평창읍,두류,12,14,117,0.362931271,1.136231788
